,model,method,mean_tbc,std_tbc,mean_wiki,std_wiki,self n=2,self n=3,self n=4,WT103 n=2,WT103 n=3,WT103 n=4,TBC n=2,TBC n=3,TBC n=4
162,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",Parallel-015,0.051,0.006999999999999999,0.061,0.002,0.4731893638901131,0.7274668293426872,0.868558744252418,0.3947407080946085,0.6922373036449596,0.8596797209449818,0.4371970030850595,0.7318895836510599,0.8885365466941494
163,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",Parallel-015,0.047,0.003,0.057,0.006,0.47079856972586415,0.7257814917982048,0.8699291693496458,0.3933253873659118,0.687867533271433,0.8565679330328396,0.4325089392133492,0.7274837511606314,0.8873148744365744
164,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",Parallel-015,0.046,0.004,0.057999999999999996,0.005,0.4860896445131376,0.735209003215434,0.8737018425460636,0.40386398763523956,0.6913183279742765,0.8609715242881072,0.4482225656877898,0.7344051446945338,0.8904522613065327
165,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=1,sample=False,top_k=0",Parallel-015,0.048,0.001,0.06,0.002,0.471068137180843,0.718794159208667,0.862232390913548,0.3947726242634839,0.6855079290312451,0.8517731655499264,0.4269527118900136,0.7197362223268959,0.8792286321294329
166,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=1,sample=True,top_k=0",Parallel-015,0.026000000000000002,0.002,0.03,0.003,0.7798279689234184,0.9403564242598448,0.9864341085271318,0.6841009988901221,0.9083069847657372,0.9765951103160405,0.7221143174250833,0.9310146593848807,0.9858378056052475
167,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=1,sample=True,top_k=100",Parallel-015,0.037000000000000005,0.005,0.040999999999999995,0.003,0.6599660249150623,0.8717346639272087,0.9573430834856794,0.5464326160815403,0.8287349574405636,0.9399756246191346,0.5911664779161948,0.8594071030231876,0.9616087751371115
168,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=10,sample=False,top_k=0",Parallel-015,0.049,0.006,0.055999999999999994,0.004,0.48784747489448405,0.7355384383023712,0.8774132789201068,0.40765536312036094,0.7015556562452802,0.868623450007848,0.44331247271139573,0.7381060262800181,0.8937372469000157
169,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=0",Parallel-015,0.009000000000000001,0.0,0.01,0.0,0.9483491745872936,0.9927704621740253,0.9986659551760939,0.9169584792396198,0.9904466821585335,0.9983991462113126,0.9330915457728864,0.9923831655047767,0.9986659551760939
170,"/max_iter=100,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=100",Parallel-015,0.021,0.001,0.022000000000000002,0.002,0.8232364028002154,0.9643354694901086,0.9916281755196305,0.7397684437264405,0.943856227361382,0.983689376443418,0.7669628432956381,0.9576483700195041,0.9916281755196305
171,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",Parallel-015,0.098,0.053,0.059000000000000004,0.017,0.0,0.0,0.0,0.020299500831946756,0.043327556325823226,0.06256781193490055,0.02113144758735441,0.046273830155979204,0.06690777576853527
