,model,method,Wiki R1 Prec,Wiki R1 Rec,Wiki R1 F1,Wiki R2 Prec,Wiki R2 Rec,Wiki R2 F1,Wiki R3 Prec,Wiki R3 Rec,Wiki R3 F1,Wiki R4 Prec,Wiki R4 Rec,Wiki R4 F1,TBC R1 Prec,TBC R1 Rec,TBC R1 F1,TBC R2 Prec,TBC R2 Rec,TBC R2 F1,TBC R3 Prec,TBC R3 Rec,TBC R3 F1,TBC R4 Prec,TBC R4 Rec,TBC R4 F1
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",Parallel-1,0.40540540540540543,0.004232207096000564,0.008376963146288417,0.12333333333333334,0.0005425617713908645,0.00108037074277363,0.012254901960784314,4.8284919653893695e-05,9.619076444816498e-05,0.0,0.0,0.0,0.40540540540540543,0.004232207096000564,0.008376963146288417,0.12333333333333334,0.0005425617713908645,0.00108037074277363,0.012254901960784314,4.8284919653893695e-05,9.619076444816498e-05,0.0,0.0,0.0
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=0",Parallel-1,0.3583815028901734,0.0262396839952035,0.048899111446355066,0.1063063063063063,0.004325830339467703,0.00831337109581671,0.015734265734265736,0.0006083899876390606,0.001171482045643152,0.0006310475389145982,2.6245800671892496e-05,5.03948388007894e-05,0.3583815028901734,0.0262396839952035,0.048899111446355066,0.1063063063063063,0.004325830339467703,0.00831337109581671,0.015734265734265736,0.0006083899876390606,0.001171482045643152,0.0006310475389145982,2.6245800671892496e-05,5.03948388007894e-05
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=100",Parallel-1,0.37298387096774194,0.026098610425336812,0.048783702383642144,0.14416567104739147,0.005308307060634944,0.010239582942939477,0.031050493325594893,0.0010332972805933251,0.0020000367604971377,0.003226607098535617,0.00011373180291153416,0.00021971827101332266,0.37298387096774194,0.026098610425336812,0.048783702383642144,0.14416567104739147,0.005308307060634944,0.010239582942939477,0.031050493325594893,0.0010332972805933251,0.0020000367604971377,0.003226607098535617,0.00011373180291153416,0.00021971827101332266
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=False,top_k=0",Parallel-1,0.5079365079365079,0.006771531353600903,0.013364889062350687,0.20100502512562815,0.0011731065327370042,0.0023325994210223644,0.03383458646616541,0.0001738257107540173,0.00034587438428948617,0.0015822784810126582,8.748600223964166e-06,1.7400879007297383e-05,0.5079365079365079,0.006771531353600903,0.013364889062350687,0.20100502512562815,0.0011731065327370042,0.0023325994210223644,0.03383458646616541,0.0001738257107540173,0.00034587438428948617,0.0015822784810126582,8.748600223964166e-06,1.7400879007297383e-05
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=0",Parallel-1,0.414647577092511,0.10622839810961417,0.16912796575744485,0.14428121720881426,0.01613021482513381,0.029016471634454113,0.02425843641167287,0.0019507107540173052,0.0036110426966222595,0.0027433206106870227,0.0002012178051511758,0.00037493352063038953,0.414647577092511,0.10622839810961417,0.16912796575744485,0.14428121720881426,0.01613021482513381,0.029016471634454113,0.02425843641167287,0.0019507107540173052,0.0036110426966222595,0.0027433206106870227,0.0002012178051511758,0.00037493352063038953
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=100",Parallel-1,0.4171997157071784,0.08281018551174438,0.13819080413400803,0.14763231197771587,0.014766478480827041,0.026847604190896688,0.022721502919522723,0.0017286001236093943,0.0032127780093279103,0.002614867388868136,0.00018372060470324747,0.0003433183465472259,0.4171997157071784,0.08281018551174438,0.13819080413400803,0.14763231197771587,0.014766478480827041,0.026847604190896688,0.022721502919522723,0.0017286001236093943,0.0032127780093279103,0.002614867388868136,0.00018372060470324747,0.0003433183465472259
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=False,top_k=0",Parallel-1,0.37662337662337664,0.004091133526133879,0.008094340726613466,0.12779552715654952,0.0005865532663685021,0.0011677467415280149,0.016091954022988506,6.759888751545117e-05,0.000134632130327823,0.0,0.0,0.0,0.37662337662337664,0.004091133526133879,0.008094340726613466,0.12779552715654952,0.0005865532663685021,0.0011677467415280149,0.016091954022988506,6.759888751545117e-05,0.000134632130327823,0.0,0.0,0.0
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=0",Parallel-1,0.24937027707808565,0.1326796924596177,0.17320441535594883,0.00011914690813773382,1.4663831659212553e-05,2.611180010360784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.24937027707808565,0.1326796924596177,0.17320441535594883,0.00011914690813773382,1.4663831659212553e-05,2.611180010360784e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=100",Parallel-1,0.453125,0.1084150384425478,0.1749672687835215,0.06625014735353059,0.008241073392477455,0.014658700658725526,0.000697350069735007,5.794190358467244e-05,0.00010699241345222526,0.0,0.0,0.0,0.453125,0.1084150384425478,0.1749672687835215,0.06625014735353059,0.008241073392477455,0.014658700658725526,0.000697350069735007,5.794190358467244e-05,0.00010699241345222526,0.0,0.0,0.0
0,"/max_iter=100,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=100",Parallel-1,0.49826334070097883,0.11130704662481485,0.18196494166431226,0.07,0.008417039372388005,0.015027159547133517,0.0010832932113625422,8.691285537700866e-05,0.0001609140549101739,0.00012038040207054291,8.748600223964166e-06,1.631048705353122e-05,0.49826334070097883,0.11130704662481485,0.18196494166431226,0.07,0.008417039372388005,0.015027159547133517,0.0010832932113625422,8.691285537700866e-05,0.0001609140549101739,0.00012038040207054291,8.748600223964166e-06,1.631048705353122e-05
